#Open,Low,Volume,High
325.25,324.97,7380500,332.83
331.27,329.08,5749400,333.87
329.83,326.89,6590300,330.75
328.34,323.68,5405900,328.77
322.04,309.46,11688800,322.29
313.7,307.3,8824000,315.72
310.59,309.4,4817800,313.52
314.43,312.08,3764400,315.26
311.96,309.37,4631800,312.3
314.81,311.67,3832800,314.81
312.14,309.9,5544000,315.82
319.3,314.55,12657800,319.3
294.16,289.76,21231800,294.4
291.91,290.49,6851300,293.23
292.07,287.92,6134400,292.74
287.68,282.13,10012700,288.27
284.92,281.22,6476500,286.17
284.32,283.6,7262000,289.08
287.95,285.63,4678400,288.92
290.41,286.5,4300700,290.91
291.38,288.49,4658700,291.66
291.34,289.95,4847400,292.11
294.23,292.93,6360700,297.42
296.39,295.9,7386700,304.27
302.44,300.75,4199700,303.56
303.18,301.24,3686400,304.53
304.87,303.36,4546300,306.1
302.81,300.87,4667700,302.93
304.11,303.87,3646100,305.77
304.63,301.25,3620900,304.86
305.32,300.15,4869900,305.32
300.28,297.75,5080700,303.27
301.36,300.08,4916400,302.68
300.81,300.31,4980100,307.79
304.84,302.22,3948700,307.24
302.37,299.05,4125300,302.83
302.54,301.62,3885600,304.68
302.16,301.4,3641300,305.04
303.86,302.71,5716400,308.73
308.14,306.6,6297200,311.63
309.97,307.92,4492000,311.68
309.84,309,3158300,310.83
309.06,304.55,3198400,310.08
302.89,295.81,6372500,303.27
303.39,301.8,2538400,304.45
303.88,302.04,2700900,304.61
302.84,298.88,5361100,304.81
298.88,298.51,3350400,302.37
303.24,301.64,4508300,307.77
306.35,305.58,5895700,310.23
307.15,306.27,4888300,310.59
309.29,308.87,6123800,311.79
310.4,309.46,4361800,317.45
314.28,312.46,3092400,316.84
316.12,315.07,4957600,322.49
318.06,314.32,4838400,323.19
322.09,319.25,3894800,323.04
321.3,318.58,3651900,323.53
322.31,321.2,4029400,325.53
324.8,324.32,5096700,328.07
325.5,320.95,3862900,327.07
324.66,319.3,4638700,325.52
319.19,316.23,4585400,322.54
321.5,318.13,4105000,322.77
318.03,314.37,3267300,318.31
314.94,313.11,4654700,317.03
313.07,311.48,4381600,316.48
315.58,311.11,4982500,316.07
315.8,314.47,4414300,316.81
319.98,318.93,11556300,325.35
322.57,310.61,16379700,323.28
310.34,299.71,11426700,310.74
303.14,302.37,6070400,307.69
302.89,300.28,5358900,305.26
301.71,298.38,6613800,306.98
301,296.8,6139700,303.29
295.34,294,4411900,298.11
298,297.54,3872600,302.18
300.87,300.31,3655800,304.53
304.31,303.71,4200600,307.85
306.36,304.16,3284900,307.22
305.35,299.18,4832600,306.89
300.77,298.97,4019600,304.66
299.48,299.18,3235000,302.92
303.67,303.34,3749900,306.27
301.83,297.29,4431300,302.81
296.39,296.39,4003800,304.14
301.63,299.23,5374600,307.3
302.28,299.78,4675000,307.04
305.34,303.98,3083200,306.94
304.04,301.26,4214400,306.13
299.27,299.17,3662400,303.11
301.54,300.75,4219900,306.35
307.83,306.82,9706300,313.87
315.73,309.46,6732700,317.73
311.38,297.24,11991700,315.03
299.13,298.88,6173800,306.7
305.57,296.89,6126600,305.76
299.7,297.45,6379900,303.66
303.44,298.32,3796600,304.82
299.38,293.04,7190500,299.74
296.79,293.06,5230900,298.45
292.98,290.68,3827600,294.84
293.26,288.42,5958800,293.9
284.83,283.11,6138700,285.26
284.05,283.94,4883500,289.16
286.65,282.18,4697200,287.99
287.16,285.73,4207200,289.9
292.7,287.55,3530100,292.85
286.85,286.22,2831300,289.42
291.01,282.29,5342100,291.57
283.82,278.25,6472500,284.09
279.81,278.3,3923000,282.44
279.6,277.22,4707200,281.48
279.12,277.5,6024800,281.21
280.26,278.58,5012400,286.03
285.72,285.49,4167900,291.05
288.82,285.68,4710800,288.92
288.84,280.81,4037600,288.84
282.94,281.85,4472400,284.67
282.61,277.63,3174900,282.98
280.33,278.7,2710500,282.24
282.79,281.95,3397200,285.92
281.89,277.56,3856100,282.06
286.41,285.03,5057800,288.98
289.82,287.17,3323300,290.41
288.92,287.92,2387800,293.11
293.28,293.17,4709200,298.91
295.12,290.32,4339700,295.65
291.38,289.54,3443000,293.2
293.99,288.29,3860500,295.11
287.07,281.42,7024700,287.85
282.5,280,4636800,284.9
285.01,283.21,3966700,288.49
287.11,284.82,2936100,288.51
288.14,283.14,3372700,289.25
287.41,286.99,3107900,290.76
291.98,291.91,9384300,298.12
303.24,297.97,12975800,305.33
299.12,298.01,7150000,308.02
306.35,301.04,4033800,307.81
303.02,301.55,3659600,305.54
306.35,303.88,3382900,307.28
308.29,307.6,7125900,316.31
316.84,313.57,4389700,320.1
312.96,312.94,3745100,317.06
317.46,314.51,3702900,318.56
311.59,310.54,3970100,317.82
318.81,316.88,3808300,320.66
318.61,318.42,3578000,323.48
319.7,317.05,3978300,320.93
318.33,318.06,2654200,321.73
321.05,319.56,2148500,321.98
318.1,316.88,2879800,319.92
322.5,322.13,6560200,328.84
328.39,328.27,7350800,335.17
333.89,330.81,4839400,335.87
332.51,332.29,3448200,336.06
335.8,334.6,4371600,337.36
336.49,335.07,3529300,338.17
335.3,329.85,4461000,337.73
332.44,332.11,3832600,339.03
335.88,334.25,3581700,338.97
336.54,335.78,2863800,338.95
330.26,328.39,5246900,334.75
331.26,331.13,4132600,337.54
337.42,336.81,6002900,343.21
340.84,338.82,3265900,342.41
340.72,338.75,4270000,343
341,335.49,3793200,341.22
338.73,338.3,3429100,341.97
341.7,341.09,6109700,348.64
348.69,347.53,6490100,354.8
353.55,347.89,5139100,355.07
347.68,344.21,3761500,349.02
343.42,339.17,5304300,346.16
345.25,343.98,5337900,353.18
353.48,352.18,5256500,355.17
352.73,351.18,3027800,355.11
352.57,352.07,4149000,357.99
357.41,356.87,6219700,362.92
360.88,359.26,5836500,364.32
364.74,363.7,12765800,366.09
364.14,363.76,7154200,373.62
375.12,372.43,12162400,381.02
373.52,369.12,11388200,379.2
378.56,374.42,7891600,380
375.67,374.17,5587700,378.23
378.11,376.69,6359700,381.07
381.17,373.73,5601200,381.56
376.45,374.7,4433100,380.53
379.95,378.28,4926700,383.51
383.92,381.08,5492200,385.74
379.08,375.67,3931800,380.36
378.42,369.88,6028900,379.24
369.54,367.77,4095000,372.37
375.04,373.74,4785600,377.83
374.52,370.66,4826400,376.03
369.58,363.99,6060700,370.53
368.68,366.85,4131800,372.1
370.59,368.75,4602900,376.76
376.36,336.74,24977900,378.29
351.47,334.75,23050400,352.03
339.23,333.6,8141500,341.04
334.75,334.75,5855000,342.38
342.12,336.37,5011600,342.22
338.73,335.5,4820100,339.73
336.99,334.35,3916200,340.24
338.66,336.24,3085400,339.23
338.48,338.09,4115500,344.16
346.1,342.4,4666100,346.48
340.97,336.52,3283900,342.15
341.46,337.51,3177300,341.97
336.24,332,4481200,337.85
333.85,324.4,5213300,334.49
326.1,323.94,6251500,332.92
330.64,329.2,2822300,333.65
330.26,327.89,3200200,332.55
329.1,324.04,3349200,329.85
323.79,320.75,3711500,328.77
321.79,316.81,6902000,325.29
326.63,326.54,4754100,333.21
333.5,331.04,4192900,337.73
333.25,328.97,4240200,333.65
333.73,331.81,1851800,333.75
331.98,328.28,4425700,332.25
328.85,327.77,5036100,336.24
332.76,330.71,6106700,341.18
342.61,339.73,5573700,345.65
344.36,341.56,6350800,348.3
349.81,345.76,4401300,351.63
346.2,341.57,3998200,346.46
344.78,339.89,3738700,345.95
342.51,340.98,2935500,346.51
346.2,339.94,3852900,347.14
341.42,340.62,2743600,344.53
343.71,342.58,5395200,349.65
348.31,345.45,4870100,350.44
356.62,348.47,6915500,356.9
348.28,347.91,4276100,352.59
351.43,350.7,6093400,359.61
356.96,356.19,6032300,363.19
359.01,357,3851500,360.15
360.28,357.15,3326400,360.97
355.65,353.93,7078300,358.07
