#Open,High,Low,Volume,Close
325.25,332.83,324.97,7380500,663.59
331.27,333.87,329.08,5749400,666.45
329.83,330.75,326.89,6590300,657.21
328.34,328.77,323.68,5405900,648.24
322.04,322.29,309.46,11688800,620.76
313.7,315.72,307.3,8824000,621.43
310.59,313.52,309.4,4817800,624.25
314.43,315.26,312.08,3764400,627.92
311.96,312.3,309.37,4631800,623.28
314.81,314.81,311.67,3832800,626.86
312.14,315.82,309.9,5544000,631.18
319.3,319.3,314.55,12657800,637.82
294.16,294.4,289.76,21231800,584.39
291.91,293.23,290.49,6851300,583.92
292.07,292.74,287.92,6134400,579.34
287.68,288.27,282.13,10012700,567.93
284.92,286.17,281.22,6476500,566.54
284.32,289.08,283.6,7262000,578.39
287.95,288.92,285.63,4678400,576.11
290.41,290.91,286.5,4300700,578.52
291.38,291.66,288.49,4658700,579.24
291.34,292.11,289.95,4847400,583.51
294.23,297.42,292.93,6360700,594.7
296.39,304.27,295.9,7386700,607.42
302.44,303.56,300.75,4199700,605.11
303.18,304.53,301.24,3686400,608.18
304.87,306.1,303.36,4546300,609.79
302.81,302.93,300.87,4667700,604.25
304.11,305.77,303.87,3646100,610.52
304.63,304.86,301.25,3620900,608.09
305.32,305.32,300.15,4869900,603.9
300.28,303.27,297.75,5080700,604.86
301.36,302.68,300.08,4916400,602.98
300.81,307.79,300.31,4980100,612.32
304.84,307.24,302.22,3948700,606.28
302.37,302.83,299.05,4125300,604.45
302.54,304.68,301.62,3885600,608.23
302.16,305.04,301.4,3641300,607.64
303.86,308.73,302.71,5716400,616.7
308.14,311.63,306.6,6297200,616.56
309.97,311.68,307.92,4492000,620.7
309.84,310.83,309,3158300,619.55
309.06,310.08,304.55,3198400,612.57
302.89,303.27,295.81,6372500,603.3
303.39,304.45,301.8,2538400,605.14
303.88,304.61,302.04,2700900,605.48
302.84,304.81,298.88,5361100,598.61
298.88,302.37,298.51,3350400,603.49
303.24,307.77,301.64,4508300,616.09
306.35,310.23,305.58,5895700,614.3
307.15,310.59,306.27,4888300,619.43
309.29,311.79,308.87,6123800,623.33
310.4,317.45,309.46,4361800,632.24
314.28,316.84,312.46,3092400,631.76
316.12,322.49,315.07,4957600,638.23
318.06,323.19,314.32,4838400,644.28
322.09,323.04,319.25,3894800,640.83
321.3,323.53,318.58,3651900,647.55
322.31,325.53,321.2,4029400,645.25
324.8,328.07,324.32,5096700,653.96
325.5,327.07,320.95,3862900,646.63
324.66,325.52,319.3,4638700,639.48
319.19,322.54,316.23,4585400,645.15
321.5,322.77,318.13,4105000,640.86
318.03,318.31,314.37,3267300,633.41
314.94,317.03,313.11,4654700,630.59
313.07,316.48,311.48,4381600,629.11
315.58,316.07,311.11,4982500,625.14
315.8,316.81,314.47,4414300,634.22
319.98,325.35,318.93,11556300,649.23
322.57,323.28,310.61,16379700,622.89
310.34,310.74,299.71,11426700,604.41
